院校名,类别,分数
泉州师范学院,物理类|本科批|普通类,最低分/最低位次：540/83336
惠州学院,物理类|本科批|普通类,最低分/最低位次：540/84043
惠州学院,物理类|本科批|普通类,最低分/最低位次：540/83855
西安财经大学,物理类|本科批|普通类,最低分/最低位次：540/83760
云南中医药大学,物理类|本科批|普通类,最低分/最低位次：540/83077
河北北方学院,物理类|本科批|普通类,最低分/最低位次：540/82969
江西师范大学,物理类|本科批|普通类,最低分/最低位次：539/84303
福建农林大学,物理类|本科批|普通类,最低分/最低位次：539/85104
济南大学,物理类|本科批|普通类,最低分/最低位次：539/84805
安徽农业大学,物理类|本科批|普通类,最低分/最低位次：539/85211
河南科技大学,物理类|本科批|普通类,最低分/最低位次：539/84582
河南科技大学,物理类|本科批|普通类,最低分/最低位次：539/84389
常州大学,物理类|本科批|普通类,最低分/最低位次：539/84307
石家庄铁道大学,物理类|本科批|普通类,最低分/最低位次：539/84788
烟台大学,物理类|本科批|普通类,最低分/最低位次：539/84767
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：539/84546
大连交通大学,物理类|本科批|普通类,最低分/最低位次：539/85332
新疆医科大学,物理类|本科批|普通类,最低分/最低位次：539/84478
华北理工大学,物理类|本科批|普通类,最低分/最低位次：539/85426
北京石油化工学院,物理类|本科批|普通类,最低分/最低位次：539/84689
泉州师范学院,物理类|本科批|普通类,最低分/最低位次：539/85092
中国劳动关系学院,物理类|本科批|普通类,最低分/最低位次：539/85388
中国民用航空飞行学院,物理类|本科批|普通类,最低分/最低位次：539/85182
云南中医药大学,物理类|本科批|普通类,最低分/最低位次：539/85460
长治医学院,物理类|本科批|普通类,最低分/最低位次：539/84730
河南科技大学,物理类|本科批|普通类,最低分/最低位次：538/86774
湖南农业大学,物理类|本科批|普通类,最低分/最低位次：538/85943
河南工业大学,物理类|本科批|普通类,最低分/最低位次：538/86201
华东交通大学,物理类|本科批|普通类,最低分/最低位次：538/85559
北京印刷学院,物理类|本科批|普通类,最低分/最低位次：538/85849
大连交通大学,物理类|本科批|普通类,最低分/最低位次：538/85901
大连工业大学,物理类|本科批|普通类,最低分/最低位次：538/86470
西南民族大学,物理类|本科批|普通类,最低分/最低位次：538/86058
江西中医药大学,物理类|本科批|普通类,最低分/最低位次：538/86783
桂林理工大学,物理类|本科批|普通类,最低分/最低位次：538/86263
吉首大学,物理类|本科批|普通类,最低分/最低位次：538/86434
首都体育学院,物理类|本科批|普通类,最低分/最低位次：538/86028
四川轻化工大学,物理类|本科批|普通类,最低分/最低位次：538/86398
江苏警官学院,物理类|本科批|普通类,最低分/最低位次：538/86439
南京特殊教育师范学院,物理类|本科批|普通类,最低分/最低位次：538/85712
天津医科大学临床医学院,物理类|本科批|普通类,最低分/最低位次：538/86544
