院校名,类别,分数
郑州航空工业管理学院,物理类|本科批|普通类,最低分/最低位次：511/125970
韶关学院,物理类|本科批|普通类,最低分/最低位次：511/125958
湖南工学院,物理类|本科批|普通类,最低分/最低位次：511/125752
桂林航天工业学院,物理类|本科批|普通类,最低分/最低位次：511/125768
山西传媒学院,物理类|本科批|普通类,最低分/最低位次：511/124801
湖北恩施学院,物理类|本科批|普通类,最低分/最低位次：511/125880
南京医科大学康达学院,物理类|本科批|普通类,最低分/最低位次：511/125012
锦州医科大学医疗学院,物理类|本科批|普通类,最低分/最低位次：511/125580
黑龙江大学,物理类|本科批|普通类,最低分/最低位次：510/126984
山西师范大学,物理类|本科批|普通类,最低分/最低位次：510/127721
安徽工程大学,物理类|本科批|普通类,最低分/最低位次：510/127539
辽宁石油化工大学,物理类|本科批|普通类,最低分/最低位次：510/126630
大连海洋大学,物理类|本科批|普通类,最低分/最低位次：510/127037
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：510/127339
盐城师范学院,物理类|本科批|普通类,最低分/最低位次：510/126793
仲恺农业工程学院,物理类|本科批|普通类,最低分/最低位次：510/127009
惠州学院,物理类|本科批|普通类,最低分/最低位次：510/126139
广西科技大学,物理类|本科批|普通类,最低分/最低位次：510/127261
肇庆学院,物理类|本科批|普通类,最低分/最低位次：510/127314
西安文理学院,物理类|本科批|普通类,最低分/最低位次：510/127680
韶关学院,物理类|本科批|普通类,最低分/最低位次：510/126997
广州体育学院,物理类|本科批|普通类,最低分/最低位次：510/126264
广州体育学院,物理类|本科批|普通类,最低分/最低位次：510/126627
山西中医药大学,物理类|本科批|普通类,最低分/最低位次：510/127721
邵阳学院,物理类|本科批|普通类,最低分/最低位次：510/126200
湖南工学院,物理类|本科批|普通类,最低分/最低位次：510/127455
右江民族医学院,物理类|本科批|普通类,最低分/最低位次：510/126904
右江民族医学院,物理类|本科批|普通类,最低分/最低位次：510/126444
桂林旅游学院,物理类|本科批|普通类,最低分/最低位次：510/127365
湖北医药学院药护学院,物理类|本科批|普通类,最低分/最低位次：510/126857
广西艺术学院,物理类|本科批|普通类,最低分/最低位次：510/127156
湖南师范大学树达学院,物理类|本科批|普通类,最低分/最低位次：510/126183
青海师范大学,物理类|本科批|普通类,最低分/最低位次：509/127952
大理大学,物理类|本科批|普通类,最低分/最低位次：509/127899
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：509/128346
遵义医科大学,物理类|本科批|普通类,最低分/最低位次：509/128223
遵义医科大学,物理类|本科批|普通类,最低分/最低位次：509/128672
仲恺农业工程学院,物理类|本科批|普通类,最低分/最低位次：509/129172
黑龙江科技大学,物理类|本科批|普通类,最低分/最低位次：509/128995
惠州学院,物理类|本科批|普通类,最低分/最低位次：509/128905
西北民族大学,物理类|本科批|普通类,最低分/最低位次：509/128810
广东石油化工学院,物理类|本科批|普通类,最低分/最低位次：509/127825
韶关学院,物理类|本科批|普通类,最低分/最低位次：509/127819
三明学院,物理类|本科批|普通类,最低分/最低位次：509/129205
贵州理工学院,物理类|本科批|普通类,最低分/最低位次：509/129190
咸阳师范学院,物理类|本科批|普通类,最低分/最低位次：509/128294
新余学院,物理类|本科批|普通类,最低分/最低位次：509/129053
怀化学院,物理类|本科批|普通类,最低分/最低位次：509/129044
右江民族医学院,物理类|本科批|普通类,最低分/最低位次：509/128576
三峡大学科技学院,物理类|本科批|普通类,最低分/最低位次：509/128431
衡阳师范学院南岳学院,物理类|本科批|普通类,最低分/最低位次：509/128931
吉林农业大学,物理类|本科批|普通类,最低分/最低位次：508/130471
吉林农业大学,物理类|本科批|普通类,最低分/最低位次：508/130177
哈尔滨师范大学,物理类|本科批|普通类,最低分/最低位次：508/129630
山西农业大学,物理类|本科批|普通类,最低分/最低位次：508/129685
山西农业大学,物理类|本科批|普通类,最低分/最低位次：508/129557
山西农业大学,物理类|本科批|普通类,最低分/最低位次：508/130108
合肥学院,物理类|本科批|普通类,最低分/最低位次：508/129628
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：508/130045
天津农学院,物理类|本科批|普通类,最低分/最低位次：508/129608
浙江万里学院,物理类|本科批|普通类,最低分/最低位次：508/130311
长春大学,物理类|本科批|普通类,最低分/最低位次：508/130702
黑龙江科技大学,物理类|本科批|普通类,最低分/最低位次：508/130066
广东药科大学,物理类|本科批|普通类,最低分/最低位次：508/129440
湖南城市学院,物理类|本科批|普通类,最低分/最低位次：508/129639
湖南文理学院,物理类|本科批|普通类,最低分/最低位次：508/130624
防灾科技学院,物理类|本科批|普通类,最低分/最低位次：508/130419
丽水学院,物理类|本科批|普通类,最低分/最低位次：508/130094
丽水学院,物理类|本科批|普通类,最低分/最低位次：508/129328
华北科技学院,物理类|本科批|普通类,最低分/最低位次：508/129895
北方民族大学,物理类|本科批|普通类,最低分/最低位次：508/130661
北部湾大学,物理类|本科批|普通类,最低分/最低位次：508/130160
广东金融学院,物理类|本科批|普通类,最低分/最低位次：508/129487
韩山师范学院,物理类|本科批|普通类,最低分/最低位次：508/129724
海南热带海洋学院,物理类|本科批|普通类,最低分/最低位次：508/130482
武夷学院,物理类|本科批|普通类,最低分/最低位次：508/130710
河北北方学院,物理类|本科批|普通类,最低分/最低位次：508/130391
桂林旅游学院,物理类|本科批|普通类,最低分/最低位次：508/130362
宁夏医科大学,物理类|本科批|普通类,最低分/最低位次：507/131465
潍坊医学院,物理类|本科批|普通类,最低分/最低位次：507/132283
大连海洋大学,物理类|本科批|普通类,最低分/最低位次：507/131472
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：507/132226
仲恺农业工程学院,物理类|本科批|普通类,最低分/最低位次：507/130757
岭南师范学院,物理类|本科批|普通类,最低分/最低位次：507/131529
惠州学院,物理类|本科批|普通类,最低分/最低位次：507/131726
惠州学院,物理类|本科批|普通类,最低分/最低位次：507/131285
湖南文理学院,物理类|本科批|普通类,最低分/最低位次：507/131369
广东石油化工学院,物理类|本科批|普通类,最低分/最低位次：507/131023
韶关学院,物理类|本科批|普通类,最低分/最低位次：507/131098
韶关学院,物理类|本科批|普通类,最低分/最低位次：507/131376
防灾科技学院,物理类|本科批|普通类,最低分/最低位次：507/131633
北部湾大学,物理类|本科批|普通类,最低分/最低位次：507/131721
新余学院,物理类|本科批|普通类,最低分/最低位次：507/131838
武夷学院,物理类|本科批|普通类,最低分/最低位次：507/132077
怀化学院,物理类|本科批|普通类,最低分/最低位次：507/132038
琼台师范学院,物理类|本科批|普通类,最低分/最低位次：507/131026
南昌医学院,物理类|本科批|普通类,最低分/最低位次：507/131827
长沙医学院,物理类|本科批|普通类,最低分/最低位次：507/130794
内蒙古农业大学,物理类|本科批|普通类,最低分/最低位次：506/132842
大连海洋大学,物理类|本科批|普通类,最低分/最低位次：506/133139
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：506/132361
吉林建筑大学,物理类|本科批|普通类,最低分/最低位次：506/133124
仲恺农业工程学院,物理类|本科批|普通类,最低分/最低位次：506/132583
泉州师范学院,物理类|本科批|普通类,最低分/最低位次：506/132417
惠州学院,物理类|本科批|普通类,最低分/最低位次：506/133477
南阳理工学院,物理类|本科批|普通类,最低分/最低位次：506/133623
肇庆学院,物理类|本科批|普通类,最低分/最低位次：506/133523
上饶师范学院,物理类|本科批|普通类,最低分/最低位次：506/132664
大连民族大学,物理类|本科批|普通类,最低分/最低位次：506/133304
嘉应学院,物理类|本科批|普通类,最低分/最低位次：506/133245
昆明学院,物理类|本科批|普通类,最低分/最低位次：506/132813
新余学院,物理类|本科批|普通类,最低分/最低位次：506/133318
厦门大学嘉庚学院,物理类|本科批|普通类,最低分/最低位次：506/133359
上海杉达学院,物理类|本科批|普通类,最低分/最低位次：506/133721
吉林农业大学,物理类|本科批|普通类,最低分/最低位次：505/135075
内蒙古农业大学,物理类|本科批|普通类,最低分/最低位次：505/134034
淮阴工学院,物理类|本科批|普通类,最低分/最低位次：505/135194
北华大学,物理类|本科批|普通类,最低分/最低位次：505/135461
内蒙古工业大学,物理类|本科批|普通类,最低分/最低位次：505/134821
山东交通学院,物理类|本科批|普通类,最低分/最低位次：505/134376
广西民族大学,物理类|本科批|普通类,最低分/最低位次：505/133963
宜春学院,物理类|本科批|普通类,最低分/最低位次：505/134616
嘉应学院,物理类|本科批|普通类,最低分/最低位次：505/134052
韩山师范学院,物理类|本科批|普通类,最低分/最低位次：505/134466
海南热带海洋学院,物理类|本科批|普通类,最低分/最低位次：505/134829
海南热带海洋学院,物理类|本科批|普通类,最低分/最低位次：505/134555
玉溪师范学院,物理类|本科批|普通类,最低分/最低位次：505/133933
广州航海学院,物理类|本科批|普通类,最低分/最低位次：505/134636
山东工商学院,物理类|本科批|普通类,最低分/最低位次：505/135059
无锡学院,物理类|本科批|普通类,最低分/最低位次：505/134697
广西科技师范学院,物理类|本科批|普通类,最低分/最低位次：505/135393
贵州商学院,物理类|本科批|普通类,最低分/最低位次：505/134964
滨州医学院,物理类|本科批|普通类,最低分/最低位次：504/135915
哈尔滨商业大学,物理类|本科批|普通类,最低分/最低位次：504/136629
惠州学院,物理类|本科批|普通类,最低分/最低位次：504/135807
宜春学院,物理类|本科批|普通类,最低分/最低位次：504/136165
肇庆学院,物理类|本科批|普通类,最低分/最低位次：504/137062
肇庆学院,物理类|本科批|普通类,最低分/最低位次：504/136129
韶关学院,物理类|本科批|普通类,最低分/最低位次：504/136986
嘉应学院,物理类|本科批|普通类,最低分/最低位次：504/136778
平顶山学院,物理类|本科批|普通类,最低分/最低位次：504/136380
洛阳理工学院,物理类|本科批|普通类,最低分/最低位次：504/135588
南京体育学院,物理类|本科批|普通类,最低分/最低位次：504/136921
海南热带海洋学院,物理类|本科批|普通类,最低分/最低位次：504/135633
安顺学院,物理类|本科批|普通类,最低分/最低位次：504/135832
商洛学院,物理类|本科批|普通类,最低分/最低位次：504/135790
湖北大学知行学院,物理类|本科批|普通类,最低分/最低位次：504/137057
山东交通学院,物理类|本科批|普通类,最低分/最低位次：503/137721
天津农学院,物理类|本科批|普通类,最低分/最低位次：503/137074
天津农学院,物理类|本科批|普通类,最低分/最低位次：503/138535
九江学院,物理类|本科批|普通类,最低分/最低位次：503/138491
徐州工程学院,物理类|本科批|普通类,最低分/最低位次：503/137484
南昌师范学院,物理类|本科批|普通类,最低分/最低位次：503/137283
洛阳理工学院,物理类|本科批|普通类,最低分/最低位次：503/137953
邵阳学院,物理类|本科批|普通类,最低分/最低位次：503/137350
邢台学院,物理类|本科批|普通类,最低分/最低位次：503/137562
湖南人文科技学院,物理类|本科批|普通类,最低分/最低位次：503/138114
河北金融学院,物理类|本科批|普通类,最低分/最低位次：503/137181
右江民族医学院,物理类|本科批|普通类,最低分/最低位次：503/138063
广西科技师范学院,物理类|本科批|普通类,最低分/最低位次：503/137162
南昌医学院,物理类|本科批|普通类,最低分/最低位次：503/137372
辽宁何氏医学院,物理类|本科批|普通类,最低分/最低位次：503/137581
内蒙古民族大学,物理类|本科批|普通类,最低分/最低位次：502/138740
常州工学院,物理类|本科批|普通类,最低分/最低位次：502/139963
广东石油化工学院,物理类|本科批|普通类,最低分/最低位次：502/139547
四川文理学院,物理类|本科批|普通类,最低分/最低位次：502/139915
贵州工程应用技术学院,物理类|本科批|普通类,最低分/最低位次：502/138758
湘潭大学兴湘学院,物理类|本科批|普通类,最低分/最低位次：502/139113
淮阴工学院,物理类|本科批|普通类,最低分/最低位次：501/141500
淮阴工学院,物理类|本科批|普通类,最低分/最低位次：501/141294
齐齐哈尔大学,物理类|本科批|普通类,最低分/最低位次：501/140473
天津农学院,物理类|本科批|普通类,最低分/最低位次：501/141196
玉林师范学院,物理类|本科批|普通类,最低分/最低位次：501/141444
河南工程学院,物理类|本科批|普通类,最低分/最低位次：501/140759
南阳理工学院,物理类|本科批|普通类,最低分/最低位次：501/140666
南阳理工学院,物理类|本科批|普通类,最低分/最低位次：501/140613
上饶师范学院,物理类|本科批|普通类,最低分/最低位次：501/140608
嘉应学院,物理类|本科批|普通类,最低分/最低位次：501/141545
嘉应学院,物理类|本科批|普通类,最低分/最低位次：501/141183
丽水学院,物理类|本科批|普通类,最低分/最低位次：501/140353
乐山师范学院,物理类|本科批|普通类,最低分/最低位次：501/141113
萍乡学院,物理类|本科批|普通类,最低分/最低位次：501/140671
广州航海学院,物理类|本科批|普通类,最低分/最低位次：501/140220
鞍山师范学院,物理类|本科批|普通类,最低分/最低位次：501/140732
河北金融学院,物理类|本科批|普通类,最低分/最低位次：501/140536
梧州学院,物理类|本科批|普通类,最低分/最低位次：501/140230
赣南科技学院,物理类|本科批|普通类,最低分/最低位次：501/140973
太原学院,物理类|本科批|普通类,最低分/最低位次：501/141524
